"specimen","species","country","region","habit","habitat","general_habitat","lemma_papillae","lemma_prickle","lemma_bicellular_microhair","lemma_macrohair","lemma_rondel","lemma_cross","lemma_bilobate_vertically_elongated","lemma_bilobate_horizontally_elongated","lemma_vertically_elongated","lemma_horizontally_elongated","lemma_stomata","lemma_stomata_freq","lemma_subsidiary_cells_triangular","lemma_subsidiary_cells_domed","lemma_subsidiary_cells_parallel","palea_papillae","palea_mar_prickle","palea_mar_bicellular_microhair","palea_mar_macrohair","palea_ciliate_keel","palea_sul_prickle","palea_sul_bicellular_microhair","palea_sul_macrohair","palea_rondel","palea_cross","palea_bilobate_vertically_elongated","palea_bilobate_horizontally_elongated","palea_vertically_elongated","palea_horizontally_elongated","palea_stomata","palea_stomata_freq","palea_subsidiary_cells_triangular","palea_subsidiary_cells_domed","palea_subsidiary_cells_parallel"
"g_aculeata_clark_and_tenorio_949","g_aculeata","mexico","mexico","big_erect","forest","general_forest","0","1","1","1","1","0","1","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","0","0"
"g_amplexifolia_mcclure_21268","g_amplexifolia","venezuela","andes","big_erect","forest","general_forest","1","1","1","0","1","0","0","0","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0"
"g_angustifolia_londono_and_clark_484","g_angustifolia","colombia","andes","big_erect","forest","general_forest","0","1","1","1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","0","0"
"g_chacoensis_nee_35467","g_chacoensis","bolivia","eastern_south_america","big_erect","forest","general_forest","0","1","1","0","1","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","1"
"g_latifolia_davidse_27872","g_latifolia","venezuela","eastern_south_america","big_erect","river","general_forest","0","1","0","0","1","1","1","0","0","0","1","0","1","1","1","0","1","0","0","1","1","0","1","1","1","0","1","0","1","1","1","1","1","0"
"g_maclurei_pohl_and_erickson_12700","g_maclurei","nicaragua","central_america","small_arching","forest","general_forest","1","1","1","0","1","1","0","0","0","0","1","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1"
"g_macrospiculata_londono_and_kobayashi_569","g_macrospiculata","brazil","eastern_south_america","leaning_climbing","river","general_forest","0","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0"
"g_macrostachya_londono_and_rosa_745","g_macrostachya","brazil","eastern_south_america","big_erect","forest","general_forest","1","1","1","1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","0","0"
"g_paniculata_killeen_2807","g_paniculata","bolivia","eastern_south_america","small_arching","savanna","savanna","1","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","0"
"g_paniculata_weatherwax_155","g_paniculata","guatemala","central_america","small_arching","savanna","savanna","1","1","1","0","1","0","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1"
"g_paniculata_hatschbach_and_cervi_52445","g_paniculata","brazil","eastern_south_america","small_arching","savanna","savanna","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0"
"g_paniculata_stevens_and_montiel_21482","g_paniculata","nicaragua","central_america","small_arching","savanna","savanna","1","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0"
"g_paniculata_croat_and_hannon_63852","g_paniculata","honduras","central_america","small_arching","savanna","savanna","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0"
"g_paniculata_clark_et_al_464","g_paniculata","mexico","mexico","small_arching","savanna","savanna","1","1","1","1","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","0"
"g_paniculata_pohl_and_pinette_13239","g_paniculata","costa rica","central_america","small_arching","savanna","savanna","1","1","1","0","1","0","1","0","1","0","1","0","0","1","1","1","1","0","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","1"
"g_sarcocarpa_gentry_43256","g_sarcocarpa","peru","andes","leaning_climbing","forest","general_forest","0","0","0","0","1","0","1","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","0","x","x","x","x"
"g_superba_londono_and_guedes_760","g_superba","brazil","eastern_south_america","big_erect","river","general_forest","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1"
"g_tagoara_hatschbach_33640","g_tagoara","brazil","eastern_south_america","big_erect","forest","general_forest","0","1","0","0","1","0","0","0","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0"
"g_trinii_hatschbach_and_cervi_53238","g_trinii","brazil","eastern_south_america","small_arching","savanna","general_forest","1","0","0","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","0","1","0","0","1","1","1","1","1"
"g_velutina_hiramatsu_sn","g_velutina","mexico","mexico","big_erect","forest","general_forest","1","1","1","1","1","0","0","0","0","0","1","0","1","1","0","0","1","1","0","1","1","1","1","1","0","0","0","1","0","1","1","1","1","0"
"g_weberbaueri_stannard_451","g_weberbaueri","venezuela","eastern_south_america","leaning_climbing","forest","general_forest","0","1","1","0","0","1","1","1","0","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","0"
