"","island","site","netting","websize"
"1","guam","a","yes",52.7639402667851
"2","guam","a","yes",54.7274859709763
"3","guam","a","yes",53.8857003832446
"4","guam","a","yes",51.6011884208929
"5","guam","a","yes",54.0529132725424
"6","guam","a","yes",56.7174329727575
"7","guam","a","yes",48.3650464275412
"8","guam","b","yes",46.4662112319502
"9","guam","b","yes",40.0854445507079
"10","guam","b","yes",60.7482381758259
"11","guam","b","yes",46.6647014308198
"12","guam","b","yes",47.1675360993341
"13","guam","b","yes",52.451026399897
"14","guam","b","yes",53.3704761750125
"15","guam","c","yes",61.1924055512148
"16","guam","c","yes",57.2461148074018
"17","guam","c","yes",51.2773913713966
"18","guam","c","yes",60.3102880940239
"19","guam","c","yes",52.9876907326224
"20","guam","c","yes",56.4582232547071
"21","guam","c","yes",54.0201067487133
"22","guam","a","no",55.7637276207965
"23","guam","a","no",52.7398135158313
"24","guam","a","no",57.5477647273095
"25","guam","a","no",61.9278391409781
"26","guam","a","no",55.7992724414516
"27","guam","a","no",57.7064464435516
"28","guam","a","no",58.5145446760796
"29","guam","b","no",47.5111809238812
"30","guam","b","no",54.4219538901744
"31","guam","b","no",54.2120825873063
"32","guam","b","no",51.9338910709862
"33","guam","b","no",48.9694045030606
"34","guam","b","no",50.0501687110012
"35","guam","b","no",49.3852390465814
"36","guam","c","no",53.8984222656934
"37","guam","c","no",49.3639456046928
"38","guam","c","no",40.857152089031
"39","guam","c","no",47.5163194109865
"40","guam","c","no",57.8007604677093
"41","guam","c","no",52.2278075630995
"42","guam","c","no",56.8615852660301
"43","saipan","d","yes",50.2317575961122
"44","saipan","d","yes",51.4342368025789
"45","saipan","d","yes",60.6811757018365
"46","saipan","d","yes",61.0373247912457
"47","saipan","d","yes",49.0102819343104
"48","saipan","d","yes",52.3901925290801
"49","saipan","d","yes",51.5377136130366
"50","saipan","e","yes",53.7349133054556
"51","saipan","e","yes",56.0135289431876
"52","saipan","e","yes",63.6086834205474
"53","saipan","e","yes",56.2481812917378
"54","saipan","e","yes",53.1570805378332
"55","saipan","e","yes",54.4286541224007
"56","saipan","e","yes",58.6414577039402
"57","saipan","f","yes",51.3563473654821
"58","saipan","f","yes",61.7508135030814
"59","saipan","f","yes",51.1103647578487
"60","saipan","f","yes",55.1272036636805
"61","saipan","f","yes",54.1568665671288
"62","saipan","f","yes",53.6077093514265
"63","saipan","f","yes",57.162312015337
"64","saipan","d","no",51.3546537775283
"65","saipan","d","no",54.3238594765336
"66","saipan","d","no",56.6380832619253
"67","saipan","d","no",45.6305658550164
"68","saipan","d","no",50.895960353941
"69","saipan","d","no",46.4518510640167
"70","saipan","d","no",46.4343191737593
"71","saipan","e","no",50.3268492031648
"72","saipan","e","no",41.8987774266204
"73","saipan","e","no",44.6317076421272
"74","saipan","e","no",48.0251181323865
"75","saipan","e","no",48.8335851101526
"76","saipan","e","no",42.8506351207786
"77","saipan","e","no",51.9983891717041
"78","saipan","f","no",48.2401655586267
"79","saipan","f","no",54.142740376667
"80","saipan","f","no",50.5398432548372
"81","saipan","f","no",46.9797629982753
"82","saipan","f","no",44.7114093763515
"83","saipan","f","no",46.9084134902259
"84","saipan","f","no",44.7693617031355
